title,company_name,location,site,job_url,experience_range,key_skills,match_score,why_this_job_fits,missing_skills,resume_alignment_level,is_remote,work_from_home_type
Senior Support Engineer,Relfor Labs,"Pune(Kalyani Nagar), India",naukri,https://www.naukri.com/job-listings-senior-support-engineer-relfor-labs-pune-4-to-7-years-191225010589,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Production Support / Application Support,Cloudxtreme,"Bengaluru, Hyderabad, India",naukri,https://www.naukri.com/job-listings-production-support-application-support-cloudxtreme-hyderabad-bengaluru-5-to-10-years-171225031676,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Technical Analyst 3-Support,Oracle,"Hyderabad, India",naukri,https://www.naukri.com/job-listings-technical-analyst-3-support-oracle-india-pvt-ltd-hyderabad-2-to-8-years-191225501323,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Spanish-Speaking Technical Support Engineer (L2/L3),NU Technology Inc,"Remote, India",naukri,https://www.naukri.com/job-listings-spanish-speaking-technical-support-engineer-l2-l3-nu-technology-inc-chennai-2-to-7-years-181225026402,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,True,Remote
Application Support Engineer,Accenture,"Chennai, India",naukri,https://www.naukri.com/job-listings-application-support-engineer-accenture-solutions-pvt-ltd-chennai-5-to-10-years-181225932778,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Application Support Engineer,Accenture,"Coimbatore, India",naukri,https://www.naukri.com/job-listings-application-support-engineer-accenture-solutions-pvt-ltd-coimbatore-5-to-10-years-181225932731,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Application Support Engineer,Accenture,"Chennai, India",naukri,https://www.naukri.com/job-listings-application-support-engineer-accenture-solutions-pvt-ltd-chennai-5-to-10-years-181225932730,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Application Support Engineer,Accenture,"Hyderabad, India",naukri,https://www.naukri.com/job-listings-application-support-engineer-accenture-solutions-pvt-ltd-hyderabad-5-to-10-years-181225932727,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Application Support Engineer,Accenture,"Bengaluru, India",naukri,https://www.naukri.com/job-listings-application-support-engineer-accenture-solutions-pvt-ltd-bengaluru-3-to-8-years-181225932646,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Work from office
Technical Support Engineer,Medrisk,"Hybrid - Bengaluru, Hyderabad, India",naukri,https://www.naukri.com/job-listings-technical-support-engineer-medrisk-noida-hyderabad-bengaluru-2-to-6-years-181225021174,,,6,Role appears support/production oriented,"linux, sftp, servicenow, itil",Ignore,False,Hybrid
